name,phone,address
Công Ty TNHH Thương Mại Và Dịch Vụ Đại Tân á,(024)39427149,"Phòng 604-606, Tầng 6, Tòa Nhà Thăng Long GTC, 115 Lê Duẩn, Q. Hoàn Kiếm,Hà Nội, Việt Nam"
"Ningbo Ruilin Internation Logistics Co.,Ltd.",(+86)17857076159,"Quận YinZhou, Thành phố Ningbo,Chiết Giang, Trung Quốc"
Công Ty TNHH Logistics Safway,0901232568,"B&#7855c Giang,Bắc Giang, Việt Nam"
"Hải Minh Logistics Co.,Ltd - Công Ty TNHH Tiếp Vận Quốc Tế Hải Minh",(028)54028141,"40 Đường Số 2, Khu Phố 2, Phường An Phú, Thành phố Thủ Đức,TP. Hồ Chí Minh, Việt Nam"
SS Logistics - Công Ty TNHH Dịch Vụ Giao Nhận Song Song,0902576123,"Head Office: 280A25 (KDC 280), Lương Định Của, P. An Phú, Q. 2,TP. Hồ Chí Minh, Việt Nam"
Thanh Phong Logistics - Công Ty TNHH Đầu Tư TM Xây Dựng XNK Thanh Phong,0961089966/02439901239,"Vincom Plaza, MG02-08A, Số 01 Lê Thánh Tông, P. Máy Tơ, Q. Ngô Quyền,Tp. Hải Phòng, Việt Nam"
"SHANGHAI BARENTRANS LOGISTICS CO.,LTD.",+8602151028858,"Phòng 1309, Tòa nhà Shanghai Bund International, 99 Đường Huangpu,Thượng Hải, Trung Quốc"
Logistic Hải Phòng - Công Ty CP Dịch Vụ Cảng Hải Phòng,"(0225)3814966,(0225)3814366,Hotline:0931969998","Lô KB1-1, KCN Nam Đình Vũ (Khu 1), P. Đông Hải 2, Q. Hải An,Tp. Hải Phòng, Việt Nam"
Chuyển Phát Nhanh OCS Nhật Bản - Công Ty Cổ Phần Hợp Nhất Quốc Tế,1900558866,"Tầng 2, Tòa Nhà CT4, Vimeco 2, Nguyễn Chánh, P. Trung Hòa, Q. Cầu Giấy,Hà Nội, Việt Nam"
GCL Logistics - Công Ty TNHH Kho Vận Globalcom (GCL),0915933191,"Tầng 7, Tòa Nhà Văn Phòng Lucky, Số 81 Trần Thái Tông, P. Dịch Vọng, Q. Cầu Giấy,Hà Nội, Việt Nam"
Vận Tải Saigonship Đà Nẵng - Công Ty Cổ Phần Saigonship Đà Nẵng,(0236)3943349,"Khu B1-6, KCN Dịch Vụ Thủy Sản Thọ Quang, P. Thọ Quang, Q. Sơn Trà,Tp. Đà Nẵng, Việt Nam, Việt Nam"
Công Ty TNHH MTV Tổng Công Ty Tân Cảng Sài Gòn,"18001188,0903751643","722 Điện Biên Phủ, P. 22, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam"
Công Ty TNHH Thương Mại Dịch Vụ Giao Nhận Gia Thành,(028)38125980,"270-272 Cộng Hòa, P. 13, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam"
SHIN NÔNG MACHINE - Công Ty TNHH ONTRACK LOGISTICS VINA,"(0225)7306320,0931506799,0906035889","Thửa 1 Lô 26D, KĐTM Ngã Năm Sân Bay Cát Bi, Phường Đông Khê, Quận Ngô Quyền,Tp. Hải Phòng, Việt Nam"
Công Ty TNHH Sông Trà Logistics,"0917427776,","Tổ 12, KP. Tân Hạnh, P. Phú Mỹ, TX. Phú Mỹ,Bà Rịa-Vũng Tàu, Việt Nam"
Minh Phú Logistics - Công Ty TNHH Minh Phú Logistics,0902727691,"Số 8 Tân Xuân - Trung Chánh 1, ấp mới, Xã Tân Xuân, Huyện Hóc Môn,TP. Hồ Chí Minh, Việt Nam"
